main_category_name,sub_category_name,ranking,title,ori_price,dis_price,discount_percent
e쿠폰/티켓,ALL,31,(파리바게뜨) NEW 모바일금액권 3만원권,30000,30000,0
e쿠폰/티켓,ALL,32,[SK텔레콤](SK텔레콤) T데이터쿠폰 5GB,24750,24750,25
e쿠폰/티켓,ALL,33,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권1천원권(ID바로충전),1000,1000,0
e쿠폰/티켓,ALL,34,[해피머니](카드가능)(해피머니) 온라인 상품권 1만원,9500,9500,5
e쿠폰/티켓,ALL,35,대교 리틀프렌즈 사운드 토이북 7종 선택구매(생일/달님/피아노/자동치/드럼/건강/안전),17500,17500,30
e쿠폰/티켓,ALL,36,[배스킨라빈스](배스킨라빈스) 골라 먹는 와츄원,26000,26000,0
e쿠폰/티켓,ALL,37,[커피빈](커피빈) 모바일교환권 2만원권,17400,17400,13
e쿠폰/티켓,ALL,38,[쿠우쿠우](쿠우쿠우) 기프티카드 5만원권,50000,50000,0
e쿠폰/티켓,ALL,39,[호두잉글리시]호두잉글리시M 12개월(1+1) 올패키지,339000,339000,50
e쿠폰/티켓,ALL,40,GS25 / CU / 세븐일레븐 모바일 편의점상품권,4650,4650,0
e쿠폰/티켓,ALL,41,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권1만원권(ID바로충전),9900,9900,1
e쿠폰/티켓,ALL,42,[배스킨라빈스](배스킨라빈스) 듀얼와츄원 NO.9,30000,30000,0
e쿠폰/티켓,ALL,43,[SOil](S-OIL) 모바일주유권 3만원권,29400,29400,2
e쿠폰/티켓,ALL,44,[엔타스]엔타스상품권 10만원권(경복궁/삿뽀로/고구려/면세점),90000,90000,0
e쿠폰/티켓,ALL,45,[올리브영](올리브영) 기프트카드 5만원권,50000,50000,0
e쿠폰/티켓,ALL,46,어스본 깜짝깜짝 팝업북 5종 낱권 선택구매,12000,12000,14
e쿠폰/티켓,ALL,47,[신세계상품권]신용카드/현대/롯데/신세계백화점상품권/10만원,98100,98100,0
e쿠폰/티켓,ALL,48,[투썸플레이스]투썸플레이스 3만원권,28500,28500,5
e쿠폰/티켓,ALL,49,재팬머니 - 일본 아이튠즈 카드 10000엔 (앱스토어OK),93000,93000,0
e쿠폰/티켓,ALL,50,[아웃백스테이크하우스]아웃백 디지털 3만원권,28170,28170,6
e쿠폰/티켓,ALL,51,[롯데상품권](롯데백화점) 모바일상품권 5만원권,50000,50000,0
e쿠폰/티켓,ALL,52,[넥슨](카드가능)(넥슨)(PIN발송) 온라인게임상품권 5만원,47100,47100,5
e쿠폰/티켓,ALL,53,[GS수퍼마켓](GS THE FRESH)금액상품권2만원,19000,19000,5
e쿠폰/티켓,ALL,54,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 온라인문화상품권 5천원권,5000,5000,0
e쿠폰/티켓,ALL,55,[GS25](GS25) 모바일상품권 1만원권,9500,9500,5
e쿠폰/티켓,ALL,56,[맥도날드]맥도날드 디지털 2만원권,20000,20000,0
